title,year,Id,Category
Latitudinal transects in the southeastern Pacific Ocean reveal a diverse but patchy distribution of phycotoxins,2011,180,"Unknown,Community,Sm,Plankton,"
"Locating faunal breaks in the nearshore fish assemblage of Victoria, Australia",2012,181,"Community,Habitat,Oceanography,Temperature,Fish,Sm,"
Multilocus allozyme differentiation of mussel populations Mytilus galloprovincialis Lmk. from Moroccan coasts,2002,182,"Genetic,Larval_duration,Oceanography,Temperature,Invertebrate,Sm,Selection_incompatibility,"
Genetic structure of the giant kelp Macrocystis pyrifera along the southeastern Pacific,2010,183,"Genetic,Misc,Oceanography,Historical,Algae,Sm,"
Characterization of disjunct populations of Zostera marina (eelgrass) from California: genetic differences resolved by restriction-fragment length polymorphisms,1992,184,"Unknown,Spatial,Algae,Sm,"
Phylogeographic structure in benthic marine invertebrates of the southeast pacific coast of Chile with differing dispersal potential,2014,185,"Genetic,Larval_duration,Historical,Invertebrate,Sm,"
The age and diversification of metacrangonyctid subterranean amphipod crustaceans revisited,2019,186,"Spatial,Historical,Bg,Invertebrate,"
Seaweeds in two oceans: Beta-diversity,2017,187,"Community,Oceanography,Spatial,Historical,Algae,Bg,"
"Patterns of adult abundance vary with recruitment of an invasive barnacle species on Oahu, Hawaii",2015,188,"Habitat,Invasive,Larval_duration,Oceanography,Spatial,Invertebrate,Sm,"
Effect of meteorological and hydrographic disturbances on the microplankton community structure in the Ria de Vigo (NW Spain),2000,189,"Community,Oceanography,Sm,Plankton,"
"Electrophoretic and biometric variability in the abyssal grenadier Coryphaenoides armatus of the western North Atlantic, eastern South Pacific and eastern North Pacific Oceans",1984,190,"Unknown,Effort,Spatial,Bg,Fish,"
Behaviour in flow: perspectives on the distribution and dispersion of meroplanktonic larvae in the water column,2001,191,"Behavior,Community,Larval_duration,Oceanography,Spatial,Invertebrate,Sm,"
Genetic analyses of rafted macroalgae reveal regional oceanographic connectivity patterns,2015,192,"Genetic,Larval_duration,Oceanography,R,Multiple,Sm,"
The hidden side of a major marine biogeographic boundary: a wide mosaic hybrid zone at the Atlantic–Mediterranean divide reveals the complex interaction between natural and genetic barriers in mussels,2019,193,"Genetic,Oceanography,Invertebrate,Sm,Selection_incompatibility,"
Evolutionary history of the polar regions,1992,194,"Spatial,Bg,Multiple,"
Global biodiversity of the genus Ommastrephes (Ommastrephidae: Cephalopoda): an allopatric cryptic species complex,2020,195,"Effort,Genetic,Spatial,Bg,Invertebrate,"
"Morphological variability, spatial distribution and abundance of Helicostomella species (Ciliophora: Tintinnina) in relation to environmental factors (Argentine shelf; 40-55 degrees S)",2009,196,"Habitat,Oceanography,Spatial,Sm,Mobile_plankton,"
"Genetic and morphological divergence at a biogeographic break in the beach-dwelling brooder Excirolana hirsuticauda Menzies (Crustacea, Peracarida)",2019,197,"Genetic,Habitat,Larval_duration,Oceanography,Invertebrate,Sm,Selection_incompatibility,"
Genetic divergence and larval dispersal in two spider crabs (Crustacea : Decapoda),2000,198,"Unknown,Genetic,Invertebrate,Sm,"
Regional and seasonal characteristics of epipelagic mesozooplankton in the Mediterranean Sea based on an artificial neural network analysis,2014,199,"Community,Habitat,Oceanography,Sm,Plankton,"
Reflections on the ballast water dispersal - harmful algal bloom paradigm,2007,200,"Unknown,Effort,Spatial,Bg,Plankton,"
"Population subdivision in marine environments: the contributions of biogeography, geographical distance and discontinuous habitat to genetic differentiation in a blennioid fish, Axoclinus nigricaudus",2001,201,"Genetic,Spatial,Habitat,Temperature,Fish,Sm,Salinity,"
Surfing the wave on a borrowed board: range expansion and spread of introgressed organellar genomes in the seaweed Fucus ceranoides L.,2010,202,"Genetic,Misc,Historical,Algae,Sm,"
Delineating fish-habitat associations for spatially based management: an example from the south-eastern Australian continental shelf,2001,203,"Community,Habitat,Fish,Sm,"
Seascape genetics of the New Zealand greenshell mussel: sea surface temperature explains macrogeographic scale genetic variation,2013,204,"Genetic,Temperature,Invertebrate,Sm,"
Monorchiids (Platyhelminthes: Digenea) of chaetodontid fishes (Perciformes): Biogeographical patterns in the tropical Indo-West Pacific,2012,205,"Larval_duration,Spatial,Historical,Bg,Invertebrate,"
"Hidden Floridian biodiversity: mitochondrial and nuclear gene trees reveal four cryptic species within the scorched mussel, Brachidontes exustus, species complex",2004,206,"Genetic,Historical,Invertebrate,Sm,"
Maintenance of genetic differentiation across a transition zone in the sea: discordance between nuclear and cytoplasmic markers,2005,207,"Genetic,Historical,Fish,Sm,Selection_incompatibility,"
"Epifauna of spondylus-princeps-unicolor (mollusca, bivalvia) in puerto-escondido, gulf of california, mexico",1993,208,"Community,Habitat,Spatial,Invertebrate,Sm,"
Phylogeography of the snakeskin chiton Sypharochiton pelliserpentis (Mollusca: Polyplacophora) around New Zealand: are seasonal near-shore upwelling events a dynamic barrier to gene flow?,2011,209,"Genetic,Larval_duration,Oceanography,Invertebrate,Sm,"
"Five new species of cotylean flatworms (Platyhelminthes: Polycladida: Cotylea) from Oaxaca, southern Mexican Pacific",2020,210,"Effort,Spatial,Invertebrate,Sm,"
Feeding ecology of the loggerhead sea-turtle Caretta-caretta in the northwestern gulf of Mexico,1993,211,"Unknown,Spatial,Other,Sm,"
"NEW SPECIES OF ZYZZYA, CORNULELLA, DAMIRIA, AND ACHELIDERMA (PORIFERA, POECILOSCLERIDA), WITH A REVIEW OF FISTULAR GENERA OF IOPHONIDAE",1994,212,"Unknown,Spatial,Historical,Invertebrate,Sm,"
Matching genetics with oceanography: directional gene flow in a Mediterranean fish species,2011,213,"Genetic,Larval_duration,Oceanography,Fish,Sm,"
"Life-history features and oceanography drive phylogeographic patterns of the chiton Acanthochitona cf. rubrolineata (Lischke, 1873) in the northwestern Pacific",2020,214,"Genetic,Larval_duration,Oceanography,Historical,Invertebrate,Sm,"
Oceanography and ecology of the Aleutian Archipelago: spatial and temporal variation,2005,215,"Unknown,Community,Multiple,Sm,"
Phylogeography of the mud crab (Scylla serrata) in the Indo-West Pacific reappraised from mitochondrial molecular and oceanographic clues: transoceanic dispersal and coastal sequential colonization,2011,216,"Genetic,Spatial,Historical,Bg,Invertebrate,"
"Pleistocene glaciation events shape genetic structure across the range of the American lobster, Homarus americanus",2009,217,"Genetic,Larval_duration,Historical,Invertebrate,Sm,"
The detection of spatial variation in widespread marine species: methods and bias in the analysis of population structure in the crown of thorns starfish (Echinodermata : Asteroidea),2000,218,"Unknown,Genetic,Invertebrate,Sm,"
Contemporary nuclear and mitochondrial genetic clines in a north temperate estuarine fish reflect Pleistocene vicariance,2011,219,"Genetic,Oceanography,Historical,Fish,Sm,"
"Population distribution, connectivity and differentiation of Indo-Pacific humpback dolphins in Chinese waters: Key baselines for improving conservation management",2023,220,"Unknown,Spatial,Mammal,Sm,"
Phylogeographic structure and deep lineage diversification of the red alga Chondrus ocellatus Holmes in the Northwest Pacific,2015,221,"Genetic,Spatial,Historical,Algae,Sm,Selection_incompatibility,"
Features of the distribution of benthic tropical groups in the Laptev Sea,1998,222,"Community,Habitat,Spatial,Benthic,Sm,"
The cryptic and the apparent reversed: lack of genetic differentiation within the morphologically diverse plexus of the planktonic foraminifer Globigerinoides sacculifer,2013,223,"Misc,Spatial,Historical,Bg,GSpatial,Plankton,"
"First record of the recently described Korean bryozoan Primavelans glabricollaris Min, Chae, Yang, Noh, Lee & Seo, 2021 (Cheilostomatida: Pacificincolidae) from the North-east Atlantic",2022,224,"Habitat,Invasive,Spatial,Invertebrate,Sm,"
"Ecological relevance of laboratory determined temperature limits: colonization potential, biogeography and resilience of Antarctic invertebrates to environmental change",2010,225,"Larval_duration,Spatial,Temperature,Recent_climate_change,Invertebrate,Sm,"
Species delimitation and mitogenome phylogenetics in the subterranean genus Pseudoniphargus (Crustacea: Amphipoda),2018,226,"Genetic,Spatial,Historical,Bg,Invertebrate,"
"Records of the gadoid fish Arctogadus glacialis (Peters, 1874) in the European Arctic",2009,227,"Unknown,Spatial,Fish,Sm,"
What is natural? The scale of cryptogenesis in the North Atlantic Ocean,2012,228,"Invasive,Spatial,Bg,Multiple,"
An analytically derived delineation of the West African Coastal Province based on bivalves,2022,229,"Unknown,Habitat,Spatial,Invertebrate,Sm,"
Ancient divergences and recent connections in two tropical Atlantic reef fishes Epinephelus adscensionis and Rypticus saponaceous (Percoidei : Serranidae),2003,230,"Genetic,Spatial,Historical,Bg,Fish,"
Alien Decapod Crustaceans in the Southwestern Atlantic Ocean,2011,231,"Effort,Invasive,Spatial,Invertebrate,Sm,"
"Restoration of the taxon Lycodes marisalbi, with notes on its disjunct Arctic distribution",2000,232,"Unknown,Spatial,Fish,Sm,"
"Distribution patterns and habitat suitability of the non-native brittle star Ophiothela mirabilis Verrill, 1867 along the Western Atlantic",2021,233,"Habitat,Invasive,Spatial,Bg,Invertebrate,"
Distribution of a Coastal Delphinid Under the Impact of Long-Term Habitat Loss: Indo-Pacific Humpback Dolphins off Taiwan's West Coast,2017,234,"Habitat,Spatial,Recent_climate_change,Mammal,Sm,"
Genetic discontinuities in a dominant mangrove Rhizophora apiculata (Rhizophoraceae) in the Indo-Malesian region,2016,235,"Genetic,Oceanography,Historical,Algae,Sm,"
Invasion genetics of the Ciona intestinalis species complex: from regional endemism to global homogeneity,2010,236,"Invasive,Spatial,Bg,GSpatial,Invertebrate,"
Missing in the Middle: A Review of Equatorially Disjunct Marine Taxa,2021,237,"Competition,Misc,Spatial,Historical,Bg,Multiple,"
Introduced and native populations of a marine parasitic castrator: Variation in prevalence of the rhizocephalan Loxothylacus panopaei in xanthid crabs,1997,238,"Invasive,Spatial,Other,Sm,"
Genomic mechanisms of evolved physiological plasticity in killifish distributed along an environmental salinity gradient,2011,239,"Misc,Fish,Sm,Salinity,"
Congruence between fine-scale genetic breaks and dispersal potential in an estuarine seaweed across multiple transition zones,2020,240,"Genetic,Oceanography,Historical,Algae,Sm,"
Species replacement along a linear coastal habitat: phylogeography and speciation in the red alga Mazzaella laminarioides along the south east pacific,2012,241,"Genetic,Habitat,Historical,Algae,Sm,"
"TAXONOMY AND GEOGRAPHIC-VARIATION OF PYURA-MICROCOSMUS (SAVIGNY) FROM LUSITANIAN WATERS AND THE RED-SEA (UROCHORDATA, ASCIDIACEA)",1993,242,"Unknown,Spatial,Historical,Invertebrate,Sm,"
Reproductive strategies and population genetic structure of Fucus spp. across a northeast Atlantic biogeographic transition,2017,243,"Genetic,Larval_duration,Oceanography,Algae,Sm,"
"The Indo-Pacific nudibranch Baeolidia moebii Bergh, 1888 in Greece, with the first documented spawning aggregation in the Mediterranean Sea",2022,244,"Unknown,Effort,Spatial,Bg,Invertebrate,"
Comparison of population-genetic structuring in congeneric kelp- versus rock-associated snails: a test of a dispersal-by-rafting hypothesis,2011,245,"Genetic,Habitat,R,Invertebrate,Sm,"
Some Aspects of the Walleye Pollock (Theragra chalcogramma) Biology and Fishery Related to the Size and Age Structure in the Southwestern Chukchi Sea,2022,246,"Behavior,Habitat,Spatial,Fish,Sm,"
"Predicting consequences of climate change for ecosystem functioning: variation across trophic levels, species and individuals",2015,247,"Competition,Misc,Spatial,Temperature,Multiple,Sm,"
"Population structure, gene flow, and historical demography of a small coastal shark (Carcharhinus isodon) in US waters of the Western Atlantic Ocean",2016,248,"Behavior,Genetic,Habitat,Historical,Fish,Sm,"
"Oceanic islands and seamounts as staging posts for Copepoda Harpacticoida (Crustacea) - Shallow-water Paramesochridae Lang, 1944 from the North-East Atlantic Ocean, including the (re-)description of three species and one subspecies from the Madeiran Archipelago",2015,249,"Effort,Spatial,Bg,Mobile_plankton,"
"Recent changes in the distribution of a marine gastropod, Patella rustica Linnaeus, 1758, and their relationship to unusual climatic events",2006,250,"Oceanography,Spatial,Temperature,Recent_climate_change,Invertebrate,Sm,"
"The predatory Atlantic red drum, Sciaenops ocellatus, has invaded the western Taiwanese coast in the Indo-West Pacific",2010,251,"Invasive,Spatial,Bg,Fish,"
Population genetic consequences of larval dispersal mode and hydrography: a case study with bryozoans,2001,252,"Genetic,Larval_duration,Oceanography,Invertebrate,Sm,"
Inferring potential barriers to gene flow in tropical populations of Avicennia germinans,2020,253,"Genetic,Oceanography,Algae,Sm,"
"Marine biogeographical disjunction in temperate Australia: historical landbridge, contemporary currents, or both?",2008,254,"Genetic,Oceanography,Spatial,Historical,Invertebrate,Sm,Selection_incompatibility,"
Modeling the spatial and temporal population dynamics of the copepod Centropages typicus in the northwestern Mediterranean Sea during the year 2001 using a 3D ecosystem model,2014,255,"Oceanography,Spatial,Sm,Mobile_plankton,"
"Demographic history, not larval dispersal potential, explains differences in population structure of two New Zealand intertidal species",2021,256,"Genetic,Historical,Invertebrate,Sm,"
Marine landscape shapes hybrid zone in a broadcast spawning bivalve: introgression and genetic structure in Canadian west coast Mytilus,2010,257,"Genetic,Oceanography,Invertebrate,Sm,Selection_incompatibility,"
Patterns of extensive genetic differentiation and variation among European harbor seals (Phoca vitulina vitulina) revealed using microsatellite DNA polymorphisms,1998,258,"Behavior,Genetic,Habitat,Spatial,Historical,Mammal,Sm,"
"Morphological and molecular evidences within Osmundea (Ceramiales, Rhodophyta) from the Canary Islands, eastern Atlantic Ocean",2012,259,"Unknown,Spatial,Algae,Sm,"
Distribution of angel sharks (Squatinidae) in United States waters of the western North Atlantic Ocean,2018,260,"Oceanography,Spatial,Temperature,Fish,Sm,Salinity,"
"Divergence and zoogeography of mole crabs, Emerita spp (Decapoda: Hippidae), in the Americas",1996,261,"Genetic,Spatial,Historical,Bg,Invertebrate,"
"Lineage splitting, secondary contacts and genetic admixture of a widely distributed marine invertebrate",2017,262,"Genetic,Historical,Invertebrate,Sm,"
Insights on stock structure of round sardinella Sardinella aurita off north-west Africa based on otolith shape analysis,2016,263,"Genetic,Oceanography,Fish,Sm,"
Geographic distribution and predation of Porites lobata (Anthozoa : Scleractinia) along the western Mexican coast,1999,264,"Larval_duration,Oceanography,Spatial,Invertebrate,Sm,"
"Reassessment of the franciscana Pontoporia blainvillei (Gervais & d'Orbigny, 1844) distribution and niche characteristics in Brazil",2018,265,"Competition,Habitat,Misc,Spatial,Mammal,Sm,"
"First report of Reticulocaulis mucosissimus (Naccariaceae, rhodophyta) for the Atlantic Ocean",2006,266,"Effort,Spatial,Algae,Bg,"
"Molecular systematics of the 'Navanax aenigmaticus' species complex (Mollusca, Cephalaspidea): coming full circle",2012,267,"Genetic,Spatial,Bg,Invertebrate,"
The distribution of hydroid sibling species estuaries in the Gulf of Maine,1998,268,"Larval_duration,Spatial,Historical,Invertebrate,Sm,"
THERMAL ECOTYPES OF AMPHI-ATLANTIC ALGAE .2. COLD-TEMPERATE SPECIES (FURCELLARIA-LUMBRICALIS AND POLYIDES-ROTUNDUS),1990,269,"Spatial,Historical,Algae,Bg,"
Latitudinal regionalization of epibenthic macroinvertebrate communities on rocky reefs in the Gulf of California,2016,270,"Community,Oceanography,Benthic,Sm,"
"Placing the Floridian marine genetic disjunction into a regional evolutionary context using the scorched mussel, Brachidontes exustus, species complex",2005,271,"Competition,Genetic,Oceanography,Historical,Invertebrate,Sm,"
Historical Biogeography of Delphininae Dolphins and Related Taxa (Artiodactyla: Delphinidae),2018,272,"Genetic,Oceanography,Spatial,Historical,Bg,Mammal,"
"PATTERNS OF GENE FLOW AND GENETIC-DIVERGENCE IN THE NORTHEASTERN PACIFIC CLINIDAE (TELEOSTEI, BLENNIOIDEI), BASED ON ALLOZYME AND MORPHOLOGICAL DATA",1991,273,"Oceanography,Spatial,Fish,GSpatial,Sm,"
Climate hindcasts: exploring the disjunct distribution of Diopatra biscayensis,2016,274,"Invasive,Spatial,Invertebrate,Sm,"
Small-scale genetic structure of Cerastoderma glaucum in a lagoonal environment: potential significance of habitat discontinuity and unstable population dynamics,2013,275,"Genetic,Habitat,Invertebrate,Sm,"
"Genetic diversity hotspot of the amphi-Pacific macroalga Gloiopeltis furcatasensulato (Gigartinales, Florideophyceae)",2020,276,"Genetic,Habitat,Algae,Sm,"
THE MARINE EAST-INDIES - CENTER OF ORIGIN,1992,277,"Misc,Multiple,nogap,"
Latitudinal patterns in abundance and life-history traits of the mole crab Emerita brasiliensis on South American sandy beaches,2004,278,"Habitat,Spatial,Temperature,Invertebrate,Sm,"
The connectivity of Mytilus galloprovincialis in northern Morocco: A gene flow crossroads between continents,2015,279,"Genetic,Oceanography,Invertebrate,Sm, "
"New record of Lithodidae (Crustacea Decapoda, Anomura) from the Antarctic (Bellingshausen Sea)",2005,280,"Effort,Spatial,Recent_climate_change,Invertebrate,Sm,"
"Introduced or glacial relict? Phylogeography of the cryptogenic tunicate Molgula manhattensis (Ascidiacea, Pleurogona)",2011,281,"Genetic,Invasive,Spatial,Bg,Invertebrate,"
"Oceanic dispersal barriers, adaptation and larval retention: an interdisciplinary assessment of potential factors maintaining a phylogeographic break between sister lineages of an African prawn",2008,282,"Genetic,Larval_duration,Oceanography,Temperature,Invertebrate,Sm,"
Galaxias maculatus: An explanation of its biogeography,1996,283,"Larval_duration,Oceanography,Spatial,Bg,Fish,"
"Phylogeographic structuring of the amphidromous shrimp Atya scabra (Crustacea, Decapoda, Atyidae) unveiled by range-wide mitochondrial DNA sampling",2019,284,"Genetic,Larval_duration,Oceanography,Spatial,Historical,Bg,Invertebrate,"
"Discontinuous distribution of Alepisaurus ferox Lowe, 1833 (Alepisauridae, Teleostei) in the Indian EEZ as revealed by the tuna longline survey",2010,285,"Spatial,Fish,Oxygen,Sm,"
Genetic diversity and population structure in two species of sea cucumber: differing patterns according to mode of development,1998,286,"Genetic,Larval_duration,Oceanography,Historical,Invertebrate,Sm,"
"Tethyan relicts on continental coastlines of the northwestern Pacific Ocean and Australasia: molecular phylogeny and fossil record of batillariid gastropods (Caenogastropoda, Cerithioidea)",2009,287,"Genetic,Spatial,Historical,Bg,Invertebrate,"
Evolutionary history of the seagrass genus Posidonia,2011,288,"Genetic,Spatial,Historical,Algae,Bg,"
Environmental factors influencing the distribution of southern right whales (Eubalaena australis) on the south coast of South Africa I: Broad scale patterns,2004,289,"Behavior,Habitat,Spatial,Mammal,Sm,"
"Integrative taxonomy of the Felimare californiensis and F. ghiselini species complex (Nudibranchia: Chromodorididae), with description of a new species from Peru",2017,290,"Spatial,Historical,Bg,Invertebrate,"
Biogeography of Alaskan seaweeds,2006,291,"Spatial,Historical,Algae,Sm,"
Phylogeny of cardiid bivalves (cockles and giant clams): revision of the Cardiinae and the importance of fossils in explaining disjunct biogeographical distributions,2002,292,"Effort,Spatial,Bg,Invertebrate,"
"On the identity of Prodelphinus petersii Lutken, 1889 and records of dusky dolphin Lagenorhynchus obscurus (Gray, 1828) from the southern Indian and Atlantic oceans",1995,293,"Unknown,Spatial,Bg,Mammal,"
Mitochondrial DNA sequence analysis from multiple gene fragments reveals genetic heterogeneity of Crassostrea ariakensis in East Asia,2014,294,"Genetic,Historical,Invertebrate,Sm,"
Phylogenetic relationships of crown conchs (Melongena spp.): the corona complex simplified,2009,295,"Unknown,GSpatial,Invertebrate,Sm,"
Repeated trans-Arctic invasions in littoral bivalves: molecular zoogeography of the Macoma balthica complex,2003,296,"Genetic,Spatial,Historical,Bg,Invertebrate,"
Comparative phylogeography of reef fishes from the Gulf of Aden to the Arabian Sea reveals two cryptic lineages,2017,297,"Genetic,Oceanography,Temperature,Historical,Fish,Sm,"
"Introduced and native Phlebobranch and Stolidobranch solitary ascidians (Tunicata: Ascidiacea) around Salvador, Bahia, Brazil",2012,298,"Invasive,Spatial,Bg,Invertebrate,"
"EARLY-LIFE HISTORIES, OCEAN CURRENTS, AND THE POPULATION-GENETICS OF CARIBBEAN REEF FISHES",1995,299,"Unknown,Larval_duration,Oceanography,Spatial,Historical,Fish,Sm,"
"First record of Hydrolagus melanophasma James, Ebert, Long & Didier, 2009 (Chondrichthyes, Chimaeriformes, Holocephali) from the southeastern Pacific Ocean",2012,300,"Unknown,Spatial,Fish,Sm,"
Competition between hardwood hammocks and mangroves,2007,301,"Oceanography,Spatial,Algae,Sm,Salinity,"
"Evidence of large, local variations in recruitment and mortality in the small giant clam, Tridacna maxima, at Ningaloo Marine Park, Western Australia",2011,302,"Unknown,Habitat,Larval_duration,Misc,Spatial,Invertebrate,Sm,"
Genetic relationships of Mytilus galloprovincialis Lamarck populations worldwide: evidence from nuclear-DNA markers,2000,303,"Genetic,Invasive,Spatial,Bg,Invertebrate,"
Phylogeography of New Zealand's coastal benthos,2009,304,"Community,Genetic,Larval_duration,Oceanography,Benthic,Sm,"
Microsatellite variation in ringed seals (Phoca hispida): genetic structure and history of the Baltic Sea population,2001,305,"Spatial,Historical,GSpatial,Mammal,Sm,"
"Genetic affinities and biogeography of putative Levantine-endemic seaweed Treptacantha rayssiae (Ramon) M.Mulas, J.Neiva & A.Israel, comb. nov. (Phaeophyceae)",2020,306,"Effort,Spatial,Algae,Sm,"
TRACKING DISPERSAL ROUTES - PHYLOGEOGRAPHY OF THE ARCTIC ANTARCTIC DISJUNCT SEAWEED ACROSIPHONIA-ARCTA (CHLOROPHYTA),1994,307,"Genetic,Misc,Spatial,Historical,Algae,Bg,"
A first account of the semi-endophytic coralline algae Lithophyllum cuneatum from the Caribbean Sea and its evolutionary and biogeographic significance,2022,308,"Spatial,Historical,Algae,Bg,"
"A new species of Asterodiscides (Echinodermata, Asteroidea, Asterodiscididae) from the tropical southwest Pacific, and the biogeography of the genus revisited",2009,309,"Effort,Spatial,Invertebrate,Sm,"
"Assessing effects of genetic, environmental, and biotic gradients in species distribution modelling",2019,310,"Competition,Habitat,Spatial,Temperature,Invertebrate,Sm,"
A tropical/subtropical biogeographic disjunction in southeastern Africa separates two evolutionarily significant units of an estuarine prawn,2009,311,"Genetic,Habitat,Larval_duration,Oceanography,Temperature,Invertebrate,Sm,"
Avoiding current oversights in marine reserve design,2003,312,"Behavior,Larval_duration,Oceanography,Spatial,Multiple,Sm,"
Barcoding of arrow worms (Phylum Chaetognatha) from three oceans: Genetic diversity and evolution within an enigmatic phylum,2010,313,"Unknown,Genetic,Spatial,Bg,Invertebrate,"
Applying landscape metrics to species distribution model predictions to characterize internal range structure and associated changes,2023,314,"Competition,Habitat,Oceanography,Spatial,Recent_climate_change,Multiple,Sm,"
"Assessment of genetic and phenotypic diversity of the giant kelp, Macrocystis pyrifera, to support breeding programs",2018,315,"Genetic,Habitat,Algae,Sm,"
Across-shelf distribution of blue mussel larvae in the northern Gulf of Maine: consequences for population connectivity and a species range boundary,2015,316,"Genetic,Larval_duration,Oceanography,Invertebrate,Sm,"
"Another dolphin in peril? Photo-identification, occurrence, and distribution of the endangered Indian Ocean humpback dolphin (Sousa plumbea) in Algoa Bay",2018,317,"Unknown,Spatial,Mammal,Sm,"
"Asymmetric oceanographic processes mediate connectivity and population genetic structure, as revealed by RADseq, in a highly dispersive marine invertebrate (Parastichopus californicus)",2018,318,"Genetic,Larval_duration,Oceanography,Invertebrate,Sm,"
"Alien amphipods in a sea of troubles: cryptogenic species, unresolved taxonomy and overlooked introductions",2017,319,"Invasive,Spatial,Bg,Invertebrate,"
"Affinities of the family Sollasellidae (Porifera, Demospongiae). I. Morphological evidence",2006,320,"Unknown,Spatial,Bg,Invertebrate,"
"A new species of Nezumia (Gadiformes : Macrouridae) from Fieberling Guyot, eastern North Pacific Ocean",2001,321,"Spatial,Historical,Bg,Fish,"
Areas of endemism in the Southwestern Atlantic Ocean based on the distribution of benthic hydroids (Cnidaria: Hydrozoa),2015,322,"Habitat,Oceanography,Spatial,Temperature,Historical,Invertebrate,Sm,"
Asymmetric dispersal of southern bull-kelp (Durvillaea antarctica) adults in coastal New Zealand: testing an oceanographic hypothesis,2010,323,"Unknown,Genetic,Habitat,Oceanography,Algae,Sm,"
"A comparative study of populations of Ectopleura crocea and Ectopleura ralphi (Hydrozoa, Tubulariidae) from the Southwestern Atlantic Ocean",2014,324,"Invasive,Spatial,Bg,GSpatial,Invertebrate,"
Vicariance Biogeography,2001,325,"Misc,Spatial,Historical,Multiple,Bg,"
The trans-Pacific zipper effect: disjunct sister taxa and matching geological outlines that link the Pacific margins: The trans-Pacific zipper effect,2003,326,"Spatial,Historical,Bg,Multiple,"
Global mitochondrial DNA phylogeography and biogeographic history of the antitropically and longitudinally disjunct marine bryozoan Membranipora membranacea L. (Cheilostomata): Another cryptic marine sibling species complex?,2008,327,"Genetic,Oceanography,Spatial,Temperature,Historical,Bg,Invertebrate,"
Convergent evolution of ecomorphological adaptations in geographically isolated Bay gobies (Teleostei: Gobionellidae) of the temperate North Pacific,2014,328,"Genetic,Spatial,Historical,Bg,Fish,"
The Pacific palaeogeography of Rhizophora mangle L. (Rhizophoraceae),1991,329,"Genetic,Larval_duration,Spatial,Historical,Algae,Bg,"
Glacial vicariance drives phylogeographic diversification in the amphi-boreal kelp Saccharina latissima,2018,330,"Genetic,Spatial,Historical,Algae,Bg,"
Genetic diversity and differentiation among high-latitude broadcast-spawning coral populations disjunct from the core range,2013,331,"Unknown,Genetic,Larval_duration,Oceanography,Spatial,Bg,Invertebrate,"
Out-of-the tropics or trans-tropical dispersal? The origins of the disjunct distribution of the gooseneck barnacle Pollicipes elegans,2015,332,"Habitat,Oceanography,Temperature,Historical,Bg,Invertebrate,Spatial,"
Does the recruitment of a non-native mussel in native eelgrass habitat explain their disjunct adult distributions?: Juvenile non-native mussels in eelgrass,2005,333,"Behavior,Community,Competition,Invasive,Spatial,Invertebrate,Sm,"
Temperature ecotypes and biogeography of Acrosiphoniales (Chlorophyta) with Arctic-Antarctic disjunct and Arctic/cold-temperature distributions,1995,334,"Spatial,Temperature,Historical,Bg,Plankton,"
"Status, morphology, and phylogenetic relationships of <i>Iyengaria</i> (Scytosiphonaceae, Phaeophyceae), a brown algal genus with a disjunct distribution in the Indian Ocean",2020,335,"Unknown,Genetic,Spatial,Algae,Bg,"
Distinguishing between dispersal and vicariance: A novel approach using anti‐tropical taxa across the fish Tree of Life,2021,336,"Genetic,Habitat,Spatial,Historical,Bg,Fish,"
TEMPERATURE RESPONSES OF DISJUNCT TEMPERATE BROWN ALGAE INDICATE LONG-DISTANCE DISPERSAL OF MICROTHALLI ACROSS THE TROPICS,1992,337,"Spatial,Temperature,Historical,Algae,Bg,"
Range expansion and complete mitochondrial genome of the highfin blenny (Lupinoblennius nicholsi),2022,338,"Effort,Spatial,Sm,"
Genetic patterns in peripheral marine populations of the fusilier fish <i>Caesio cuning</i> within the Kuroshio Current,2018,339,"Genetic,Habitat,Larval_duration,Oceanography,Fish,Sm,Selection_incompatibility,"
Conservation priorities for peripheral species: the example of British Columbia,2004,340,"Spatial,Recent_climate_change,Multiple,Sm,"
Arctic-Antarctic disjunctions in the benthic seaweeds Acrosiphonia arcta (Chlorophyta) and Desmarestia viridis/willii (Phaeophyta) are of recent origin,1993,341,"Genetic,Misc,Spatial,Historical,Algae,Bg,"
"Ribosomal DNA shows extremely low genetic divergence in a world-wide distributed, but disjunct and highly adapted marine protozoan (Virgulinella fragilis, Foraminiferida)",2009,342,"Unknown,Misc,Spatial,Historical,Bg,GSpatial,Plankton,"
Beyond area relationships: Extinction and recolonization in molecular marine biogeography,1998,343,"Genetic,Habitat,Historical,Multiple,Sm,Selection_incompatibility,"
Rafting dispersal in a brooding southern sea star (Asteroidea : Anasterias),2018,344,"Genetic,Oceanography,R,Spatial,Invertebrate,Sm,"
"Incipient speciation of Catostylus mosaicus (Scyphozoa, Rhizostomeae, Catostylidae), comparative phylogeography and biogeography in south-east Australia",2005,345,"Genetic,Spatial,Temperature,Historical,Invertebrate,Sm,"
Molecular phylogeography reveals multiple Pleistocene divergence events in estuarine crabs from the tropical West Pacific,2022,346,"Genetic,Oceanography,Spatial,Historical,Invertebrate,Sm,"
Discordant distribution of populations and genetic variation in a sea star with high dispersal potential,2009,347,"Unknown,Genetic,Oceanography,Spatial,Historical,Invertebrate,Sm,"
